param nb_d:=1332;
param h:= 10;
param: o t d:=
1 1 2 179
2 1 3 465
3 1 4 101
4 1 5 883
5 1 6 1626
6 1 7 418
7 1 8 748
8 1 9 217
9 1 10 229
10 1 11 136
11 1 12 1640
12 1 13 1112
13 1 14 1361
14 1 15 1103
15 1 16 156
16 1 17 965
17 1 18 253
18 1 19 1815
19 1 20 468
20 1 21 429
21 1 22 402
22 1 23 830
23 1 24 825
24 1 25 187
25 1 26 596
26 1 27 622
27 1 28 378
28 1 29 673
29 1 30 388
30 1 31 142
31 1 32 336
32 1 33 594
33 1 34 269
34 1 35 958
35 1 36 106
36 1 37 351
37 1 2 179
38 2 3 194
39 2 4 83
40 2 5 254
41 2 6 349
42 2 7 142
43 2 8 103
44 2 9 126
45 2 10 64
46 2 11 36
47 2 12 242
48 2 13 254
49 2 14 333
50 2 15 240
51 2 16 55
52 2 17 464
53 2 18 95
54 2 19 358
55 2 20 156
56 2 21 172
57 2 22 162
58 2 23 323
59 2 24 278
60 2 25 54
61 2 26 420
62 2 27 144
63 2 28 135
64 2 29 387
65 2 30 164
66 2 31 162
67 2 32 106
68 2 33 158
69 2 34 112
70 2 35 427
71 2 36 62
72 2 37 107
73 1 3 465
74 2 3 194
75 3 4 103
76 3 5 549
77 3 6 962
78 3 7 650
79 3 8 283
80 3 9 203
81 3 10 138
82 3 11 98
83 3 12 624
84 3 13 640
85 3 14 857
86 3 15 553
87 3 16 110
88 3 17 800
89 3 18 312
90 3 19 1009
91 3 20 587
92 3 21 775
93 3 22 769
94 3 23 918
95 3 24 652
96 3 25 119
97 3 26 760
98 3 27 454
99 3 28 279
100 3 29 835
101 3 30 583
102 3 31 153
103 3 32 223
104 3 33 431
105 3 34 216
106 3 35 757
107 3 36 109
108 3 37 290
109 1 4 101
110 2 4 83
111 3 4 103
112 4 5 163
113 4 6 178
114 4 7 76
115 4 8 60
116 4 9 157
117 4 10 37
118 4 11 19
119 4 12 143
120 4 13 157
121 4 14 165
122 4 15 143
123 4 16 30
124 4 17 396
125 4 18 45
126 4 19 185
127 4 20 92
128 4 21 86
129 4 22 92
130 4 23 213
131 4 24 192
132 4 25 28
133 4 26 203
134 4 27 82
135 4 28 98
136 4 29 246
137 4 30 79
138 4 31 122
139 4 32 57
140 4 33 101
141 4 34 99
142 4 35 310
143 4 36 64
144 4 37 64
145 1 5 883
146 2 5 254
147 3 5 549
148 4 5 163
149 5 6 1442
150 5 7 456
151 5 8 468
152 5 9 389
153 5 10 398
154 5 11 136
155 5 12 1259
156 5 13 1336
157 5 14 1360
158 5 15 1773
159 5 16 215
160 5 17 1878
161 5 18 287
162 5 19 1501
163 5 20 531
164 5 21 495
165 5 22 482
166 5 23 1071
167 5 24 1221
168 5 25 241
169 5 26 783
170 5 27 560
171 5 28 826
172 5 29 903
173 5 30 455
174 5 31 222
175 5 32 469
176 5 33 689
177 5 34 449
178 5 35 1908
179 5 36 174
180 5 37 426
181 1 6 1626
182 2 6 349
183 3 6 962
184 4 6 178
185 5 6 1442
186 6 7 904
187 6 8 885
188 6 9 375
189 6 10 390
190 6 11 439
191 6 12 1796
192 6 13 1617
193 6 14 3628
194 6 15 1595
195 6 16 317
196 6 17 1687
197 6 18 572
198 6 19 5626
199 6 20 885
200 6 21 939
201 6 22 790
202 6 23 1506
203 6 24 1423
204 6 25 373
205 6 26 1192
206 6 27 1174
207 6 28 626
208 6 29 1298
209 6 30 851
210 6 31 262
211 6 32 673
212 6 33 928
213 6 34 496
214 6 35 1682
215 6 36 183
216 6 37 634
217 1 7 418
218 2 7 142
219 3 7 650
220 4 7 76
221 5 7 456
222 6 7 904
223 7 8 264
224 7 9 157
225 7 10 117
226 7 11 92
227 7 12 555
228 7 13 551
229 7 14 762
230 7 15 473
231 7 16 90
232 7 17 634
233 7 18 247
234 7 19 966
235 7 20 515
236 7 21 571
237 7 22 471
238 7 23 695
239 7 24 525
240 7 25 100
241 7 26 508
242 7 27 475
243 7 28 226
244 7 29 570
245 7 30 424
246 7 31 114
247 7 32 184
248 7 33 374
249 7 34 170
250 7 35 608
251 7 36 82
252 7 37 239
253 1 8 748
254 2 8 103
255 3 8 283
256 4 8 60
257 5 8 468
258 6 8 885
259 7 8 264
260 8 9 129
261 8 10 117
262 8 11 76
263 8 12 980
264 8 13 691
265 8 14 692
266 8 15 543
267 8 16 79
268 8 17 550
269 8 18 140
270 8 19 1064
271 8 20 309
272 8 21 254
273 8 22 250
274 8 23 519
275 8 24 488
276 8 25 93
277 8 26 341
278 8 27 488
279 8 28 215
280 8 29 395
281 8 30 224
282 8 31 85
283 8 32 168
284 8 33 409
285 8 34 149
286 8 35 537
287 8 36 65
288 8 37 215
289 1 9 217
290 2 9 126
291 3 9 203
292 4 9 157
293 5 9 389
294 6 9 375
295 7 9 157
296 8 9 129
297 9 10 86
298 9 11 40
299 9 12 319
300 9 13 354
