param nb_d:=66;
param h := 5;
param: o t d:=
1 1 2 195
2 1 3 158
3 1 4 174
4 1 5 101
5 1 6 198
6 1 7 158
7 1 8 182
8 1 9 154
9 1 10 175
10 1 11 122
11 1 12 114
12 2 3 179
13 2 4 117
14 2 5 105
15 2 6 159
16 2 7 198
17 2 8 189
18 2 9 166
19 2 10 142
20 2 11 137
21 2 12 163
22 3 4 131
23 3 5 159
24 3 6 164
25 3 7 128
26 3 8 195
27 3 9 130
28 3 10 105
29 3 11 173
30 3 12 157
31 4 5 194
32 4 6 125
33 4 7 110
34 4 8 132
35 4 9 159
36 4 10 109
37 4 11 126
38 4 12 100
39 5 6 124
40 5 7 106
41 5 8 136
42 5 9 144
43 5 10 168
44 5 11 119
45 5 12 127
46 6 7 105
47 6 8 147
48 6 9 140
49 6 10 198
50 6 11 104
51 6 12 113
52 7 8 169
53 7 9 187
54 7 10 196
55 7 11 193
56 7 12 151
57 8 9 106
58 8 10 125
59 8 11 194
60 8 12 194
61 9 10 123
62 9 11 181
63 9 12 193
64 10 11 181
65 10 12 195
66 11 12 141
;

